ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _dokan_previous_status","Meta: _porto_demo","Meta: product_image_on_hover","Meta: custom_tab_priority1","Meta: custom_tab_priority2","Meta: pageview","Meta: _per_product_admin_commission_type","Meta: _per_product_admin_commission","Meta: _per_product_admin_additional_fee","Meta: _wpml_media_has_media","Meta: _vcv-sourceChecksum","Meta: vcvSourceCssFileUrl","Meta: _vcv-globalCssMigrated","Meta: header_view","Meta: layout","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _wpb_vc_js_status","Meta: _aioseo_title","Meta: _aioseo_description","Meta: _aioseo_keywords","Meta: _aioseo_og_title","Meta: _aioseo_og_description","Meta: _aioseo_og_article_section","Meta: _aioseo_og_article_tags","Meta: _aioseo_twitter_title","Meta: _aioseo_twitter_description","Meta: _monsterinsights_sitenote_active","Meta: _dokan_new_product_email_sent","Meta: _disable_shipping","Meta: _overwrite_shipping","Meta: _additional_price","Meta: _additional_qty","Meta: _dps_processing_time"
22,"simple, virtual",,"Reverse Withdrawal Payment",'-1,0,hidden,,"This is Dokan reverse withdrawal payment product, do not delete.",,,none,,1,,,0,1,,,,,1,,,0,,,,,,,,,,,,,0,publish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Breakfast,,,https://pmag.r2.software/wp-content/uploads/2020/07/496465.jpg,,,,,,,,,0,,shop35-soft#37,yes,40,41,14,flat,,,1,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,,,,,,,,,,,,,,,,,,,,,,,
66,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00","Breakfast, Cooking, Frozen",,,https://pmag.r2.software/wp-content/uploads/2020/07/481837.jpg,,,,,,,,,0,,shop35-soft#66,yes,40,41,12,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
67,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00","Breakfast, Cooking",,,https://pmag.r2.software/wp-content/uploads/2020/07/475584.jpg,,,,,,,,,0,,shop35-soft#67,yes,40,41,8,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
68,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00","Breakfast, Cooking",,,https://pmag.r2.software/wp-content/uploads/2020/07/578239.jpg,,,,,,,,,0,,shop35-soft#68,yes,40,41,1,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
69,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/533582.jpg,,,,,,,,,0,,shop35-soft#69,yes,40,41,2,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
70,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/651432.jpg,,,,,,,,,0,,shop35-soft#70,yes,40,41,2,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
71,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00","Breakfast, Frozen",,,https://pmag.r2.software/wp-content/uploads/2020/07/586459.jpg,,,,,,,,,0,,shop35-soft#71,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
72,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Breakfast,,,https://pmag.r2.software/wp-content/uploads/2020/07/578315.jpg,,,,,,,,,0,,shop35-soft#72,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,Brand,"Avantgarde, Climb The Mountain, Golden Grid, Porto",1,1,,,,,,,,,,,,,,,,,
73,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Breakfast,,,https://pmag.r2.software/wp-content/uploads/2020/07/602180.jpg,,,,,,,,,0,,shop35-soft#73,yes,40,41,3,flat,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,,,,,,,,,,,,,,,,,,,,,,,
